      Date : 30.Aug.2019                                Time : 9:44:52 AM

                            Input Data : PV
                            Controller : Proportional Control
                            Set Point  : 15.00
                                    kp : 3.00

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          82.15          13.53           2.71          67.65           5.88
          82.27          13.53           2.71          67.65           5.88
          82.40          13.53           2.71          67.65           5.88
          82.52          13.53           2.71          67.65           5.88
          82.65          13.53           2.71          67.65           5.88
          82.77          13.53           2.71          67.65           5.88
          82.90          13.43           2.69          68.82           6.27
          83.02          13.43           2.69          68.82           6.27
          83.15          13.43           2.69          68.82           6.27
          83.27          13.43           2.69          68.82           6.27
          83.40          13.43           2.69          68.82           6.27
          83.52          13.43           2.69          68.82           6.27
          83.65          13.43           2.69          68.82           6.27
          83.77          13.43           2.69          68.82           6.27
          83.90          13.43           2.69          68.82           6.27
          84.02          13.43           2.69          68.82           6.27
          84.15          13.43           2.69          68.82           6.27
          84.27          13.43           2.69          68.82           6.27
          84.39          13.43           2.69          68.82           6.27
          84.52          13.43           2.69          68.82           6.27
          84.64          13.43           2.69          68.82           6.27
          84.77          13.43           2.69          68.82           6.27
          84.91          13.43           2.69          68.82           6.27
          85.05          13.43           2.69          68.82           6.27
          85.19          13.43           2.69          68.82           6.27
          85.32          13.43           2.69          68.82           6.27
          85.46          13.43           2.69          68.82           6.27
          85.58          13.43           2.69          68.82           6.27
          85.71          13.43           2.69          68.82           6.27
          85.83          13.43           2.69          68.82           6.27
          85.96          13.43           2.69          68.82           6.27
          86.08          13.43           2.69          68.82           6.27
          86.21          13.43           2.69          68.82           6.27
          86.33          13.43           2.69          68.82           6.27
          86.46          13.43           2.69          68.82           6.27
