      Date : 30.Aug.2019                                Time : 9:50:25 AM

                            Input Data : PV
                            Controller : P&D Control
                            Set Point  : 15.00
                                    kp : 03.00
                                    kd : 0.01

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          71.71          11.27           2.25          94.26           14.9
          71.85          11.27           2.25          94.26           14.9
          71.98          11.27           2.25          94.26           14.9
          72.10          11.27           2.25          94.26           14.9
          72.23          11.37           2.27          93.09          14.51
          72.35          11.37           2.27          93.09          14.51
          72.48          11.37           2.27          93.09          14.51
          72.60          11.37           2.27          93.09          14.51
          72.73          11.47           2.29          91.93          14.12
          72.85          11.47           2.29          91.93          14.12
          72.98          11.47           2.29          91.93          14.12
          73.10          11.47           2.29          91.93          14.12
          73.23          11.57           2.31          90.76          13.73
          73.35          11.57           2.31          90.76          13.73
          73.48          11.57           2.31          90.76          13.73
          73.60          11.57           2.31          90.76          13.73
          73.72          11.57           2.31          90.76          13.73
          73.85          11.67           2.33          89.60          13.33
          73.99          11.67           2.33          89.60          13.33
          74.11          11.67           2.33          89.60          13.33
          74.24          11.67           2.33          89.60          13.33
          74.36          11.76           2.35          88.44          12.94
          74.49          11.76           2.35          88.44          12.94
          74.61          11.76           2.35          88.44          12.94
          74.74          11.76           2.35          88.44          12.94
          74.86          11.86           2.37          87.27          12.55
          75.00          11.86           2.37          87.27          12.55
          75.13          11.86           2.37          87.27          12.55
          75.25          11.96           2.39          86.11          12.16
          75.39          11.96           2.39          86.11          12.16
          75.52          11.96           2.39          86.11          12.16
          75.64          11.96           2.39          86.11          12.16
          75.77          11.96           2.39          86.11          12.16
          75.89          11.96           2.39          86.11          12.16
          76.02          11.96           2.39          86.11          12.16
          76.14          11.96           2.39          86.11          12.16
          76.27          12.06           2.41          84.94          11.76
          76.39          12.06           2.41          84.94          11.76
          76.52          12.06           2.41          84.94          11.76
          76.64          12.06           2.41          84.94          11.76
          76.77          12.06           2.41          84.94          11.76
          76.89          12.06           2.41          84.94          11.76
          77.02          12.06           2.41          84.94          11.76
          77.14          12.16           2.43          83.78          11.37
          77.28          12.16           2.43          83.78          11.37
          77.41          12.16           2.43          83.78          11.37
          77.53          12.16           2.43          83.78          11.37
          77.66          12.16           2.43          83.78          11.37
          77.78          12.16           2.43          83.78          11.37
          77.91          12.16           2.43          83.78          11.37
          78.03          12.25           2.45          82.61          10.98
          78.16          12.25           2.45          82.61          10.98
          78.28          12.25           2.45          82.61          10.98
          78.41          12.25           2.45          82.61          10.98
          78.53          12.25           2.45          82.61          10.98
          78.66          12.25           2.45          82.61          10.98
          78.78          12.25           2.45          82.61          10.98
          78.90          12.25           2.45          82.61          10.98
          79.03          12.25           2.45          82.61          10.98
          79.15          12.35           2.47          81.45          10.59
          79.28          12.35           2.47          81.45          10.59
          79.40          12.35           2.47          81.45          10.59
          79.53          12.35           2.47          81.45          10.59
          79.65          12.35           2.47          81.45          10.59
          79.78          12.35           2.47          81.45          10.59
          79.90          12.35           2.47          81.45          10.59
          80.03          12.35           2.47          81.45          10.59
          80.15          12.35           2.47          81.45          10.59
          80.28          12.35           2.47          81.45          10.59
          80.42          12.35           2.47          81.45          10.59
          80.56          12.35           2.47          81.45          10.59
          80.70          12.45           2.49          80.28           10.2
          80.84          12.45           2.49          80.28           10.2
          80.98          12.45           2.49          80.28           10.2
          81.10          12.45           2.49          80.28           10.2
          81.23          12.45           2.49          80.28           10.2
          81.35          12.45           2.49          80.28           10.2
          81.48          12.45           2.49          80.28           10.2
          81.60          12.45           2.49          80.28           10.2
          81.73          12.45           2.49          80.28           10.2
